Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,16:10:00,545,1,No Info,9646
SpiceJet,2019-06-09,Banglore,Delhi,05:55:00,08:35:00,160,0,No Info,3625
Multiple Carriers,2019-05-18,Delhi,Cochin,13:15:00,22:30:00,555,1,No Info,11188
Air India,2019-03-09,Banglore,New Delhi,10:30:00,21:25:00,655,2,No Info,9586
Air India,2019-06-24,Delhi,Cochin,12:00:00,07:40:00,1180,2,No Info,9548
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1,No Info,14714
IndiGo,2019-05-06,Kolkata,Banglore,09:20:00,14:15:00,295,1,No Info,11319
Jet Airways,2019-05-09,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,12373
Multiple Carriers,2019-03-09,Delhi,Cochin,09:45:00,21:20:00,695,2,No Info,10090
IndiGo,2019-03-09,Delhi,Cochin,16:00:00,01:35:00,575,1,No Info,13611
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,19:00:00,560,2,No Info,13014
Air India,2019-03-21,Delhi,Cochin,06:10:00,23:00:00,1010,1,No Info,5704
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,12:00:00,330,1,In-flight meal not included,10844
Air India,2019-05-15,Delhi,Cochin,05:00:00,07:40:00,1600,2,No Info,11281
SpiceJet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Air India,2019-03-15,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,7082
IndiGo,2019-05-24,Delhi,Cochin,18:35:00,01:30:00,415,1,No Info,7503
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,13377
IndiGo,2019-03-21,Mumbai,Hyderabad,19:05:00,20:30:00,85,0,No Info,2754
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4409
Air India,2019-06-27,Delhi,Cochin,12:00:00,19:15:00,435,2,No Info,8603
Jet Airways,2019-04-24,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,4544
IndiGo,2019-05-12,Kolkata,Banglore,04:50:00,09:50:00,300,1,No Info,4176
Air India,2019-05-15,Delhi,Cochin,17:15:00,19:15:00,1560,2,No Info,13022
Multiple Carriers,2019-03-21,Delhi,Cochin,18:15:00,01:35:00,440,1,No Info,13542
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,19:40:00,1435,1,No Info,13759
Air India,2019-03-21,Delhi,Cochin,18:05:00,21:10:00,185,0,No Info,5674
IndiGo,2019-06-03,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,3597
SpiceJet,2019-06-27,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,4760
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,18:50:00,350,1,No Info,17024
Air India,2019-06-06,Kolkata,Banglore,09:25:00,18:30:00,545,1,No Info,8366
Air India,2019-06-06,Kolkata,Banglore,14:30:00,08:55:00,1105,2,No Info,15894
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,13727
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,11:25:00,1280,1,In-flight meal not included,7832
IndiGo,2019-03-15,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,6297
IndiGo,2019-04-06,Kolkata,Banglore,06:15:00,10:30:00,255,1,No Info,4226
IndiGo,2019-06-21,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
IndiGo,2019-06-01,Delhi,Cochin,06:50:00,12:10:00,320,1,No Info,5298
Jet Airways,2019-05-01,Banglore,Delhi,11:10:00,14:05:00,175,0,No Info,7229
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,09:20:00,800,1,In-flight meal not included,10844
Jet Airways,2019-06-12,Delhi,Cochin,11:45:00,04:25:00,1000,2,No Info,13882
IndiGo,2019-06-15,Banglore,Delhi,18:25:00,21:20:00,175,0,No Info,4823
IndiGo,2019-05-18,Delhi,Cochin,06:50:00,12:10:00,320,1,No Info,6347
IndiGo,2019-06-12,Delhi,Cochin,23:30:00,04:35:00,305,1,No Info,10112
Jet Airways,2019-06-24,Delhi,Cochin,23:05:00,12:35:00,810,2,No Info,12819
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,590,1,No Info,14781
IndiGo,2019-04-06,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,4174
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,04:25:00,805,1,No Info,14714
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1,No Info,12692
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,19:00:00,300,1,No Info,14714
Air India,2019-03-06,Mumbai,Hyderabad,06:00:00,09:10:00,1630,2,No Info,13169
Vistara,2019-06-06,Banglore,Delhi,07:00:00,09:40:00,160,0,No Info,4668
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,04:40:00,450,1,No Info,13941
IndiGo,2019-03-01,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,6565
Multiple Carriers,2019-03-06,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,15078
Air India,2019-05-09,Kolkata,Banglore,12:00:00,07:55:00,1195,2,No Info,9416
IndiGo,2019-06-21,Banglore,Delhi,20:00:00,22:50:00,170,0,No Info,4823
IndiGo,2019-04-15,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,4591
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,04:40:00,730,1,In-flight meal not included,10844
Jet Airways,2019-05-06,Delhi,Cochin,05:30:00,04:25:00,1375,2,No Info,15129
Air India,2019-03-12,Mumbai,Hyderabad,01:35:00,14:50:00,795,2,No Info,9977
Air India,2019-03-03,Banglore,New Delhi,07:30:00,10:50:00,1640,2,No Info,12074
Air Asia,2019-05-27,Delhi,Cochin,07:55:00,22:25:00,870,1,No Info,6152
Multiple Carriers,2019-05-15,Delhi,Cochin,10:20:00,19:00:00,520,1,No Info,9794
IndiGo,2019-06-03,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,5224
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35:00,1615,2,In-flight meal not included,13029
IndiGo,2019-05-12,Kolkata,Banglore,21:00:00,02:15:00,315,1,No Info,7228
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,350,1,No Info,12347
Air India,2019-06-18,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No Info,3100
IndiGo,2019-05-27,Delhi,Cochin,04:55:00,21:00:00,965,1,No Info,8784
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,01:30:00,930,1,No Info,8073
Air Asia,2019-06-21,Banglore,Delhi,23:55:00,02:45:00,170,0,No Info,3383
IndiGo,2019-03-18,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No Info,4049
Air India,2019-06-12,Delhi,Cochin,09:45:00,08:15:00,1350,1,No Info,8991
Air India,2019-05-15,Kolkata,Banglore,09:25:00,13:45:00,1700,2,No Info,14482
Jet Airways,2019-06-12,Delhi,Cochin,22:50:00,19:00:00,1210,1,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,11:25:00,340,1,No Info,13817
Vistara,2019-03-03,Banglore,New Delhi,19:40:00,22:20:00,160,0,No Info,8553
Multiple Carriers,2019-06-06,Delhi,Cochin,17:30:00,01:30:00,480,1,No Info,13377
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1,No Info,13759
SpiceJet,2019-06-01,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,3971
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,14:25:00,1080,1,In-flight meal not included,9314
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,18:15:00,1400,1,In-flight meal not included,10844
Air Asia,2019-04-03,Banglore,Delhi,04:55:00,07:45:00,170,0,No Info,4282
Air India,2019-03-12,Banglore,New Delhi,00:30:00,08:45:00,495,1,No Info,13492
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,16:10:00,540,1,No Info,6513
Multiple Carriers,2019-05-27,Delhi,Cochin,17:45:00,01:30:00,465,1,No Info,6795
IndiGo,2019-06-15,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,4804
SpiceJet,2019-05-03,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,4991
SpiceJet,2019-03-18,Kolkata,Banglore,06:55:00,09:35:00,160,0,No check-in baggage included,4413
IndiGo,2019-03-06,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,7295
Vistara,2019-03-18,Chennai,Kolkata,07:05:00,09:20:00,135,0,No Info,4842
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,12:35:00,1460,2,No Info,14300
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,19:50:00,345,1,No Info,13626
IndiGo,2019-05-27,Delhi,Cochin,10:35:00,01:30:00,895,1,No Info,6104
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,660,1,No Info,13587
Jet Airways,2019-06-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
GoAir,2019-06-24,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,3898
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,12:25:00,400,1,No Info,22270
IndiGo,2019-06-27,Delhi,Cochin,05:05:00,16:10:00,665,1,No Info,6442
IndiGo,2019-03-24,Kolkata,Banglore,17:35:00,22:15:00,280,1,No Info,6933
IndiGo,2019-03-01,Banglore,New Delhi,08:30:00,11:30:00,180,0,No Info,10067
IndiGo,2019-04-15,Banglore,Delhi,21:15:00,00:15:00,180,0,No Info,3943
IndiGo,2019-03-27,Delhi,Cochin,04:55:00,12:00:00,425,1,No Info,6171
Air India,2019-05-12,Kolkata,Banglore,10:00:00,23:15:00,795,1,No Info,10203
GoAir,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0,No Info,4340
Air India,2019-05-27,Delhi,Cochin,09:45:00,23:00:00,795,1,No Info,8907
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,7618
Air India,2019-05-21,Kolkata,Banglore,12:00:00,11:10:00,1390,2,No Info,10676
Air Asia,2019-06-09,Kolkata,Banglore,06:50:00,10:30:00,220,1,No Info,6857
Multiple Carriers,2019-03-06,Delhi,Cochin,09:10:00,19:15:00,605,1,No Info,15077
Multiple Carriers,2019-06-27,Delhi,Cochin,15:15:00,01:30:00,615,1,In-flight meal not included,5797
Multiple Carriers,2019-03-21,Delhi,Cochin,15:15:00,01:35:00,620,1,No Info,7695
Jet Airways,2019-05-27,Delhi,Cochin,14:00:00,19:00:00,300,1,In-flight meal not included,12898
Jet Airways,2019-05-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No Info,5678
IndiGo,2019-03-21,Delhi,Cochin,08:25:00,21:00:00,755,1,No Info,8285
SpiceJet,2019-03-01,Mumbai,Hyderabad,22:45:00,00:10:00,85,0,No Info,11005
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,04:40:00,730,1,No Info,14571
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,10:55:00,1075,1,In-flight meal not included,8066
Multiple Carriers,2019-06-27,Delhi,Cochin,11:30:00,21:00:00,570,1,No Info,13587
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,10197
IndiGo,2019-03-21,Delhi,Cochin,10:45:00,21:00:00,615,1,No Info,6838
IndiGo,2019-04-01,Kolkata,Banglore,17:35:00,22:15:00,280,1,No Info,5699
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10:00,90,0,In-flight meal not included,4050
Jet Airways,2019-06-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,No Info,5678
IndiGo,2019-03-06,Delhi,Cochin,14:20:00,22:20:00,480,1,No Info,7451
Multiple Carriers,2019-03-03,Delhi,Cochin,08:25:00,18:50:00,625,1,No Info,15135
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,19:00:00,1270,1,In-flight meal not included,12898
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1,In-flight meal not included,8586
SpiceJet,2019-04-21,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,4807
SpiceJet,2019-06-01,Chennai,Kolkata,17:45:00,20:05:00,140,0,No check-in baggage included,3543
Air India,2019-03-03,Delhi,Cochin,06:10:00,23:00:00,1010,1,No Info,13002
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,04:40:00,520,1,In-flight meal not included,9663
Multiple Carriers,2019-03-21,Delhi,Cochin,11:30:00,01:35:00,845,1,No Info,13542
IndiGo,2019-03-21,Kolkata,Banglore,17:15:00,19:55:00,160,0,No Info,4148
Jet Airways,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1,No Info,14714
IndiGo,2019-05-09,Chennai,Kolkata,05:15:00,07:40:00,145,0,No Info,3540
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,16:10:00,435,1,In-flight meal not included,7832
IndiGo,2019-06-01,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Air India,2019-05-24,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,10441
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,10:45:00,1655,1,No Info,9187
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,09:05:00,965,1,No Info,8452
Air India,2019-03-09,Delhi,Cochin,06:05:00,09:25:00,1640,1,No Info,10945
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,19:00:00,1395,1,No Info,16079
Jet Airways,2019-06-24,Delhi,Cochin,11:30:00,12:35:00,1505,1,In-flight meal not included,10262
IndiGo,2019-04-27,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
IndiGo,2019-06-15,Delhi,Cochin,10:35:00,01:30:00,895,1,No Info,5883
Vistara,2019-05-09,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,4668
Jet Airways,2019-06-09,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,5678
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,7933
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,01:30:00,835,3,No Info,16294
Jet Airways,2019-03-03,Banglore,New Delhi,08:00:00,07:40:00,1420,1,In-flight meal not included,13502
Multiple Carriers,2019-03-03,Delhi,Cochin,07:00:00,21:00:00,840,1,No Info,15603
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,10:05:00,775,1,No Info,13941
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,04:25:00,1760,2,No Info,15129
IndiGo,2019-05-06,Kolkata,Banglore,15:15:00,20:05:00,290,1,No Info,4775
Air India,2019-05-15,Kolkata,Banglore,16:50:00,07:55:00,905,1,No Info,8891
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No Info,5678
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,04:40:00,730,1,No Info,14388
Multiple Carriers,2019-06-03,Delhi,Cochin,03:50:00,19:00:00,910,1,No Info,12192
GoAir,2019-06-09,Kolkata,Banglore,16:40:00,00:15:00,455,1,No Info,9495
Multiple Carriers,2019-05-09,Delhi,Cochin,17:45:00,01:30:00,465,1,No Info,9021
Jet Airways,2019-06-06,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,11733
SpiceJet,2019-06-03,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Multiple Carriers,2019-05-21,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,7485
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,19:00:00,810,2,In-flight meal not included,13029
IndiGo,2019-03-03,Banglore,New Delhi,20:00:00,22:55:00,175,0,No Info,6860
Jet Airways,2019-06-15,Delhi,Cochin,06:45:00,04:25:00,1300,2,In-flight meal not included,10919
IndiGo,2019-06-06,Delhi,Cochin,07:35:00,12:10:00,275,1,No Info,5458
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,12:35:00,425,2,In-flight meal not included,15544
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,16:20:00,590,1,In-flight meal not included,9899
SpiceJet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0,No Info,3597
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,21:05:00,690,1,No Info,14151
IndiGo,2019-06-18,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
IndiGo,2019-06-12,Delhi,Cochin,08:35:00,22:30:00,835,1,No Info,6442
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,12:35:00,910,2,No Info,13292
GoAir,2019-04-01,Kolkata,Banglore,16:40:00,00:15:00,455,1,No Info,5171
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,19:00:00,360,1,In-flight meal not included,10262
Air Asia,2019-06-03,Delhi,Cochin,16:45:00,06:35:00,830,1,No Info,11410
Air India,2019-06-12,Delhi,Cochin,21:00:00,07:40:00,640,1,No Info,8372
Air India,2019-06-15,Delhi,Cochin,07:05:00,09:25:00,1580,2,No Info,10975
SpiceJet,2019-04-18,Kolkata,Banglore,17:10:00,19:40:00,150,0,No Info,4174
Jet Airways,2019-05-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Air India,2019-03-06,Mumbai,Hyderabad,05:55:00,22:00:00,965,1,No Info,10366
Air Asia,2019-04-01,Kolkata,Banglore,06:50:00,10:30:00,220,1,No Info,5162
Multiple Carriers,2019-03-03,Delhi,Cochin,13:05:00,22:20:00,555,1,No Info,14153
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1,In-flight meal not included,8586
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,18:00:00,505,1,No Info,14151
IndiGo,2019-03-15,Banglore,New Delhi,18:25:00,21:20:00,175,0,No Info,8855
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,18:00:00,1500,1,No Info,12692
Jet Airways,2019-03-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Jet Airways,2019-06-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No Info,5678
IndiGo,2019-03-09,Delhi,Cochin,11:55:00,21:20:00,565,2,No Info,8378
Air India,2019-03-03,Banglore,New Delhi,21:10:00,23:55:00,165,0,No Info,7591
Vistara,2019-03-24,Kolkata,Banglore,20:20:00,22:10:00,1550,1,No Info,11105
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,12:35:00,1090,2,No Info,14237
IndiGo,2019-03-24,Banglore,New Delhi,20:00:00,22:55:00,175,0,No Info,6144
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,19:00:00,1620,1,In-flight meal not included,12898
SpiceJet,2019-05-06,Chennai,Kolkata,08:20:00,10:35:00,135,0,No check-in baggage included,3859
IndiGo,2019-05-21,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
SpiceJet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,2385
Jet Airways,2019-06-01,Delhi,Cochin,20:00:00,04:25:00,505,2,No Info,16263
IndiGo,2019-03-15,Mumbai,Hyderabad,06:20:00,07:45:00,85,0,No Info,3342
Air India,2019-03-03,Banglore,New Delhi,10:00:00,12:45:00,165,0,No Info,8588
Multiple Carriers,2019-05-09,Delhi,Cochin,07:05:00,21:00:00,835,1,In-flight meal not included,10546
Multiple Carriers,2019-03-27,Delhi,Cochin,19:00:00,01:35:00,395,1,No Info,7845
Air India,2019-04-01,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,5911
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,14:25:00,1730,1,In-flight meal not included,9314
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,23:25:00,1625,1,No Info,9345
GoAir,2019-06-09,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3898
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50:00,685,1,In-flight meal not included,8586
IndiGo,2019-04-21,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Jet Airways,2019-06-06,Delhi,Cochin,14:35:00,04:25:00,830,2,No Info,13376
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,04:25:00,335,1,In-flight meal not included,10262
