Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,2019-04-03,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,10:25:00,1050,1,No Info,17261
Jet Airways,2019-05-09,Delhi,Cochin,14:00:00,12:35:00,1355,1,In-flight meal not included,12373
IndiGo,2019-04-12,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4174
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,04:25:00,1375,2,No Info,13014
IndiGo,2019-04-15,Banglore,Delhi,06:05:00,08:50:00,165,0,No Info,4423
Jet Airways,2019-03-21,Delhi,Cochin,18:15:00,04:25:00,610,1,No Info,12557
Multiple Carriers,2019-03-27,Delhi,Cochin,15:15:00,01:35:00,620,1,No Info,6427
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,10:05:00,845,1,In-flight meal not included,8586
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,12:00:00,890,1,In-flight meal not included,9663
Jet Airways,2019-03-12,Banglore,New Delhi,05:50:00,15:00:00,550,1,No Info,11297
Air India,2019-05-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0,No Info,3100
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,22:40:00,930,1,No Info,8452
SpiceJet,2019-06-09,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No Info,2753
IndiGo,2019-03-01,Banglore,New Delhi,07:10:00,10:05:00,175,0,No Info,11934
Multiple Carriers,2019-05-09,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,9424
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,04:25:00,1105,1,In-flight meal not included,12898
SpiceJet,2019-03-15,Mumbai,Hyderabad,22:45:00,00:10:00,85,0,No check-in baggage included,2647
Multiple Carriers,2019-03-21,Delhi,Cochin,16:00:00,01:35:00,575,1,No Info,13542
Air India,2019-03-01,Banglore,New Delhi,21:10:00,23:55:00,165,0,No Info,25703
Vistara,2019-03-09,Banglore,New Delhi,06:40:00,10:25:00,1665,1,No Info,10008
Air Asia,2019-03-21,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4082
Jet Airways,2019-03-03,Delhi,Cochin,16:00:00,18:50:00,1610,1,No Info,17234
Air India,2019-03-21,Delhi,Cochin,07:00:00,19:15:00,735,1,No Info,7934
Air India,2019-05-15,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,4667
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,15058
SpiceJet,2019-06-06,Kolkata,Banglore,11:35:00,18:50:00,435,1,No Info,8479
Air India,2019-03-01,Banglore,New Delhi,11:05:00,19:50:00,525,1,1 Long layover,14594
Multiple Carriers,2019-05-21,Delhi,Cochin,11:25:00,19:15:00,470,1,No Info,7575
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2,In-flight meal not included,13029
IndiGo,2019-04-15,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4174
IndiGo,2019-03-09,Delhi,Cochin,06:40:00,16:10:00,570,1,No Info,6442
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,11:25:00,1425,1,In-flight meal not included,7832
Multiple Carriers,2019-06-27,Delhi,Cochin,11:25:00,19:15:00,470,1,No Info,7155
SpiceJet,2019-03-15,Kolkata,Banglore,09:00:00,11:30:00,150,0,No check-in baggage included,3815
SpiceJet,2019-03-18,Banglore,New Delhi,20:30:00,23:20:00,170,0,No Info,4377
IndiGo,2019-05-18,Delhi,Cochin,08:35:00,16:10:00,455,1,No Info,6442
IndiGo,2019-06-03,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,4804
Air India,2019-04-06,Delhi,Cochin,17:40:00,23:00:00,320,1,No Info,5232
SpiceJet,2019-06-06,Chennai,Kolkata,08:20:00,10:35:00,135,0,No check-in baggage included,3543
SpiceJet,2019-05-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No Info,2017
Air India,2019-04-24,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,5201
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,12:00:00,1170,1,In-flight meal not included,10844
IndiGo,2019-05-27,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,6314
IndiGo,2019-05-01,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,5644
Jet Airways,2019-06-21,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,No Info,8040
SpiceJet,2019-04-12,Kolkata,Banglore,06:55:00,09:30:00,155,0,No Info,3873
Air India,2019-05-06,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,11701
IndiGo,2019-03-03,Kolkata,Banglore,22:10:00,00:55:00,165,0,No Info,5618
IndiGo,2019-05-09,Delhi,Cochin,17:05:00,22:25:00,320,1,No Info,6027
IndiGo,2019-04-18,Delhi,Cochin,14:20:00,17:35:00,195,0,No Info,6015
IndiGo,2019-06-15,Delhi,Cochin,16:00:00,21:00:00,300,1,No Info,6069
Air India,2019-04-27,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,5228
Vistara,2019-05-12,Kolkata,Banglore,07:10:00,09:05:00,1555,1,No Info,9397
IndiGo,2019-05-03,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4804
Air India,2019-06-21,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,6961
Air India,2019-05-27,Delhi,Cochin,20:15:00,19:15:00,1380,2,No Info,13381
Multiple Carriers,2019-06-09,Delhi,Cochin,17:50:00,01:30:00,460,2,No Info,18485
Jet Airways,2019-06-12,Delhi,Cochin,14:00:00,19:00:00,300,1,In-flight meal not included,10262
Air India,2019-06-06,Kolkata,Banglore,09:50:00,21:05:00,675,1,No Info,7452
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,19:00:00,1195,2,No Info,12819
SpiceJet,2019-06-09,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,5158
Air India,2019-05-01,Kolkata,Banglore,10:00:00,05:25:00,1165,2,No Info,13899
Air India,2019-03-01,Banglore,New Delhi,11:05:00,22:10:00,665,2,Change airports,13576
IndiGo,2019-03-03,Banglore,New Delhi,08:30:00,11:30:00,180,0,No Info,6860
IndiGo,2019-05-21,Chennai,Kolkata,13:15:00,15:35:00,140,0,No Info,3597
Air India,2019-06-06,Kolkata,Banglore,16:45:00,08:55:00,970,2,No Info,14960
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,775,1,In-flight meal not included,11841
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,12:35:00,1010,1,In-flight meal not included,10262
IndiGo,2019-05-21,Delhi,Cochin,09:15:00,21:00:00,705,1,No Info,7318
Multiple Carriers,2019-05-15,Delhi,Cochin,15:15:00,01:30:00,615,1,No Info,7670
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35:00,825,1,No Info,14714
Jet Airways,2019-06-15,Delhi,Cochin,06:45:00,04:25:00,1300,2,No Info,13376
SpiceJet,2019-06-12,Kolkata,Banglore,06:55:00,09:30:00,155,0,No Info,3873
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,23:35:00,570,1,In-flight meal not included,10844
Air India,2019-06-06,Kolkata,Banglore,08:20:00,21:50:00,810,2,No Info,10697
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,16:20:00,590,1,No Info,14571
Air India,2019-05-24,Kolkata,Banglore,09:50:00,21:05:00,675,1,No Info,7662
SpiceJet,2019-05-01,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
SpiceJet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,4491
Air India,2019-03-24,Delhi,Cochin,04:00:00,07:40:00,1660,1,No Info,8635
IndiGo,2019-04-09,Kolkata,Banglore,15:15:00,20:05:00,290,1,No Info,4268
IndiGo,2019-03-21,Banglore,New Delhi,07:10:00,10:05:00,175,0,No Info,6860
Jet Airways,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1,No Info,12242
GoAir,2019-04-06,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,4201
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2,No Info,9483
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,08:15:00,665,1,In-flight meal not included,8529
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,19:10:00,305,1,No Info,14815
Air India,2019-05-12,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No Info,3100
Jet Airways,2019-06-21,Banglore,Delhi,19:50:00,22:50:00,180,0,In-flight meal not included,7754
IndiGo,2019-06-09,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Air India,2019-05-09,Delhi,Cochin,20:40:00,09:25:00,765,1,No Info,7480
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,19:00:00,1270,1,In-flight meal not included,12898
IndiGo,2019-06-06,Kolkata,Banglore,10:30:00,16:05:00,335,1,No Info,6301
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,08:15:00,945,1,In-flight meal not included,7064
Air India,2019-05-18,Kolkata,Banglore,09:25:00,01:20:00,955,2,No Info,11668
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,18:25:00,405,1,No Info,19225
Jet Airways,2019-03-27,Delhi,Cochin,15:05:00,04:25:00,800,1,No Info,12242
SpiceJet,2019-05-03,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Vistara,2019-03-21,Banglore,New Delhi,06:40:00,21:55:00,915,1,No Info,6065
SpiceJet,2019-04-06,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,19:50:00,685,1,No Info,14571
Jet Airways,2019-06-06,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,8016
GoAir,2019-04-03,Delhi,Cochin,10:35:00,19:35:00,540,1,No Info,5135
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,10:25:00,1050,1,1 Long layover,25735
Air India,2019-03-09,Banglore,New Delhi,05:50:00,22:45:00,1015,1,No Info,10657
IndiGo,2019-03-21,Delhi,Cochin,04:45:00,13:20:00,515,1,No Info,7738
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,13:15:00,450,1,No Info,12284
Jet Airways,2019-03-09,Delhi,Cochin,13:45:00,04:25:00,880,2,In-flight meal not included,15129
GoAir,2019-04-15,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,5052
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,09:25:00,690,1,No Info,12395
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,08:15:00,1090,1,In-flight meal not included,7757
Air India,2019-05-15,Delhi,Cochin,20:30:00,23:00:00,1590,1,No Info,8907
Air Asia,2019-05-01,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,5989
IndiGo,2019-04-09,Delhi,Cochin,16:00:00,01:30:00,570,1,No Info,6573
SpiceJet,2019-03-24,Kolkata,Banglore,09:00:00,11:30:00,150,0,No check-in baggage included,5201
Multiple Carriers,2019-06-03,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,8930
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,20:20:00,1375,1,No Info,17471
SpiceJet,2019-05-06,Kolkata,Banglore,22:20:00,00:40:00,140,0,No Info,3873
Air India,2019-05-09,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,5228
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,12:35:00,1615,2,In-flight meal not included,13029
SpiceJet,2019-04-24,Banglore,Delhi,05:55:00,08:35:00,160,0,No Info,3971
Jet Airways,2019-06-03,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,6478
Multiple Carriers,2019-06-15,Delhi,Cochin,03:50:00,19:00:00,910,1,No Info,12192
IndiGo,2019-03-06,Delhi,Cochin,17:30:00,01:35:00,485,1,No Info,14871
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,15:30:00,390,1,No Info,14486
Jet Airways,2019-05-03,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,4544
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,19:15:00,375,1,No Info,14323
Jet Airways,2019-05-21,Banglore,Delhi,15:50:00,18:45:00,175,0,No Info,7229
Jet Airways,2019-05-15,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,4030
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,09:20:00,1610,1,In-flight meal not included,9663
Multiple Carriers,2019-06-09,Delhi,Cochin,09:45:00,16:10:00,385,1,No Info,9646
Air India,2019-05-15,Kolkata,Banglore,17:30:00,20:25:00,1615,1,No Info,10203
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,17:45:00,01:35:00,470,1,No Info,7845
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10:00,175,0,No Info,8016
Air India,2019-03-15,Banglore,New Delhi,08:15:00,22:55:00,880,2,No Info,7904
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,13029
Air India,2019-06-03,Delhi,Cochin,19:45:00,19:15:00,1410,2,No Info,10441
Jet Airways,2019-03-24,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,No Info,5678
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,19:00:00,1395,1,In-flight meal not included,12373
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1,No Info,14714
IndiGo,2019-05-18,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No Info,2227
Jet Airways,2019-06-21,Mumbai,Hyderabad,08:45:00,10:15:00,90,0,In-flight meal not included,4995
Multiple Carriers,2019-05-18,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,8073
Air India,2019-05-21,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Air India,2019-05-01,Kolkata,Banglore,09:50:00,08:55:00,1385,2,No Info,13227
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,09:20:00,1610,1,In-flight meal not included,9663
Jet Airways,2019-05-21,Delhi,Cochin,20:00:00,04:25:00,505,2,In-flight meal not included,15318
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,17:35:00,435,1,No Info,8781
Multiple Carriers,2019-04-09,Delhi,Cochin,08:45:00,19:15:00,630,1,No Info,8371
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1,No Info,13941
Air India,2019-05-09,Delhi,Cochin,05:55:00,19:15:00,800,2,No Info,10861
IndiGo,2019-06-12,Kolkata,Banglore,19:20:00,23:45:00,265,1,No Info,3574
Multiple Carriers,2019-06-01,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,12192
GoAir,2019-06-18,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,3419
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,07:25:00,1495,2,In-flight meal not included,10118
Air Asia,2019-03-18,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4384
Air India,2019-04-21,Kolkata,Banglore,20:45:00,23:20:00,155,0,No Info,4880
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,04:25:00,865,1,In-flight meal not included,10262
Air India,2019-03-21,Banglore,New Delhi,11:50:00,19:50:00,480,1,No Info,5932
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,19:00:00,560,2,In-flight meal not included,13029
Jet Airways,2019-06-09,Delhi,Cochin,19:30:00,04:25:00,535,2,No Info,13014
Multiple Carriers,2019-06-24,Delhi,Cochin,04:55:00,19:00:00,845,1,No Info,10678
Jet Airways,2019-05-24,Banglore,Delhi,18:55:00,22:00:00,185,0,In-flight meal not included,6144
Jet Airways,2019-04-15,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,4544
SpiceJet,2019-06-15,Kolkata,Banglore,06:55:00,09:30:00,155,0,No Info,3873
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,15:15:00,435,1,No Info,19225
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1,In-flight meal not included,10262
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,18:15:00,1400,1,In-flight meal not included,10844
Air India,2019-03-01,Banglore,New Delhi,17:00:00,08:50:00,950,1,1 Long layover,10981
Air India,2019-06-21,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No Info,3100
Jet Airways,2019-06-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,No Info,5678
Air India,2019-03-01,Banglore,New Delhi,10:30:00,17:45:00,435,2,Change airports,17461
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Air India,2019-04-01,Kolkata,Banglore,10:00:00,23:15:00,795,1,No Info,7893
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,13:15:00,375,1,In-flight meal not included,7832
Air India,2019-04-01,Kolkata,Banglore,19:00:00,04:40:00,580,1,No Info,4227
IndiGo,2019-06-12,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,5601
IndiGo,2019-04-21,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,10:45:00,1655,1,No Info,9187
Multiple Carriers,2019-06-15,Delhi,Cochin,10:20:00,01:30:00,910,1,No Info,6795
Air India,2019-06-06,Kolkata,Banglore,17:30:00,20:25:00,1615,1,No Info,10413
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,18:15:00,1690,1,In-flight meal not included,10844
Jet Airways,2019-06-01,Delhi,Cochin,18:15:00,19:00:00,1485,1,No Info,14714
IndiGo,2019-03-18,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,4462
Jet Airways,2019-06-15,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,8016
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2,No Info,11869
Air India,2019-03-09,Banglore,New Delhi,17:00:00,16:40:00,1420,1,No Info,9292
Air India,2019-05-21,Delhi,Cochin,17:15:00,07:40:00,865,2,No Info,13039
IndiGo,2019-04-18,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4990
Multiple Carriers,2019-06-12,Delhi,Cochin,15:05:00,01:30:00,625,2,No Info,15965
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,13292
Jet Airways,2019-03-03,Delhi,Cochin,09:00:00,18:50:00,590,1,No Info,17024
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:15:00,600,1,No Info,8099
SpiceJet,2019-06-21,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,04:25:00,1375,2,No Info,13292
IndiGo,2019-03-12,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4148
Multiple Carriers,2019-06-03,Delhi,Cochin,07:30:00,19:15:00,705,1,No Info,9736
Vistara,2019-05-27,Banglore,Delhi,07:00:00,09:40:00,160,0,No Info,4668
IndiGo,2019-04-24,Banglore,Delhi,22:10:00,01:00:00,170,0,No Info,3625
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,09:20:00,1010,1,No Info,14388
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,19:00:00,1325,1,No Info,15554
Air India,2019-06-15,Delhi,Cochin,07:00:00,19:15:00,735,1,No Info,9929
Jet Airways,2019-05-15,Banglore,Delhi,18:55:00,22:00:00,185,0,In-flight meal not included,4030
IndiGo,2019-05-12,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,13727
IndiGo,2019-03-09,Banglore,New Delhi,16:50:00,21:35:00,285,1,No Info,10231
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,1790,2,No Info,13082
Multiple Carriers,2019-06-12,Delhi,Cochin,07:05:00,16:10:00,545,1,No Info,9646
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,20:45:00,1695,1,In-flight meal not included,8529
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,09:45:00,800,1,In-flight meal not included,10539
